Year,Team,Player,Position,Height,Weight,ArmLength,ArmLengthRank,DraftPick,DraftYear,College,Targets,TargetShare,RzTargetShare,TargetRate,SnapShare,SlotSnaps,SlotSnapRate,RoutesRun,RouteParticipation,AirYards,AirYardsShare,AvgTargetDistADOT,DeepTargets,RzTargets,RzRec,TargetQualityRating,CatchableTargetRate,CatchableTargets,TargetAccuracy,YardsPerRouteRun,FormationAdjustedYardsPerRouteRun,YardsPerTarget,YardsPerRec,YardsPerTeamPassAtt,TrueCatchRate,TargetSeparation,TargetPrem,DominatorRating,JukeRate,ExplosiveRating,Drops,DropRate,ContestedCatchRate,ContestedCatchTargets,ProductionPrem,ExpectedPointsAddedEPA,QbRatingPerTarget,BestBallPointsAdded,FantasyPointsPerRouteRun,FantasyPointsPerTarget,TotalFantasyPoints,TotalRouteWins,RouteWinRate,RoutesVsMan,RoutesVsZone,WinRateVsMan,WinRateVsZone,TargetRateVsMan,TargetRateVsZone,TargetSeparationVsMan,TargetSeparationVsZone,FantasyPointsPerTargetVsMan,FantasyPointsPerTargetVsZone
2024,ARI,Marvin Harrison Jr.,WR30,"6' 3""",205,31,54,1.04,2024,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,ARI,Michael Wilson,WR61,"6' 1""",216,31,29,3.31,2023,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,ARI,Greg Dortch,WR85,"5' 7""",173,29,4,Undrafted,2019,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,ARI,Zay Jones,WR149,"6' 2""",201,32,72,2.05,2017,East Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,ATL,Drake London,WR5,"6' 4""",213,33,95,1.08,2022,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,ATL,Darnell Mooney,WR31,"5' 10""",176,30,27,5.28,2020,Tulane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,ATL,Ray-Ray McCloud,WR50,"5' 10""",190,30,15,6.13,2018,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,ATL,Khadarel Hodge,WR136,"6' 2""",198,31,37,Undrafted,2018,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
